test,wavelength,extinction,scattering
mie_stat,450.000000,9.9531583101e+01,4.0391291047e-01
mie_stat,500.000000,1.2930126222e+02,3.9818776622e-01
mie_stat,550.000000,4.5778746527e+01,3.7660152809e-01
mie_stat,600.000000,1.0492256109e+01,1.9497258580e-01
mie_stat,650.000000,3.3802580388e+00,1.1805996641e-01
mie_stat,700.000000,1.7622886706e+00,7.9084576103e-02
mie_ret,450.000000,1.0270920218e+02,4.1222504128e-01
mie_ret,500.000000,1.3269293185e+02,4.0602136263e-01
mie_ret,550.000000,4.7338978186e+01,3.8708654948e-01
mie_ret,600.000000,1.0803329611e+01,1.9888657883e-01
mie_ret,650.000000,3.4806651327e+00,1.1987064950e-01
mie_ret,700.000000,1.8187880800e+00,8.0063880033e-02
bemstat_planewave,450.000000,9.9392384164e+01,4.0315538665e-01
bemstat_planewave,500.000000,1.2910357054e+02,3.9738889605e-01
bemstat_planewave,550.000000,4.5687991395e+01,3.7567616713e-01
bemstat_planewave,600.000000,1.0473420737e+01,1.9453098127e-01
bemstat_planewave,650.000000,3.3745407785e+00,1.1780573840e-01
bemstat_planewave,700.000000,1.7594061630e+00,7.8919057133e-02
bemret_planewave,450.000000,1.0454801662e+02,4.0336871450e-01
bemret_planewave,500.000000,1.3325216569e+02,3.9524274796e-01
bemret_planewave,550.000000,4.7794700238e+01,3.6946279683e-01
bemret_planewave,600.000000,1.1272364857e+01,1.8628437199e-01
bemret_planewave,650.000000,3.8282995493e+00,1.1006505019e-01
bemret_planewave,700.000000,2.1403261360e+00,7.2080926896e-02
bemstatlayer_planewave,450.000000,6.8719807570e+01,3.7518082902e-01
bemstatlayer_planewave,500.000000,9.0391107962e+01,3.7379547436e-01
bemstatlayer_planewave,550.000000,3.3362349716e+01,3.7020062164e-01
bemstatlayer_planewave,600.000000,7.4230720146e+00,1.8817707595e-01
bemstatlayer_planewave,650.000000,2.3257321537e+00,1.1273377255e-01
bemstatlayer_planewave,700.000000,1.1928990187e+00,7.5084075901e-02
bemretlayer_planewave,450.000000,7.5165162096e+01,3.5425209497e-01
bemretlayer_planewave,500.000000,9.6091176581e+01,3.5199318025e-01
bemretlayer_planewave,550.000000,3.6113010005e+01,3.4859378918e-01
bemretlayer_planewave,600.000000,8.3451625319e+00,1.7341251752e-01
bemretlayer_planewave,650.000000,2.8053442433e+00,1.0188055391e-01
bemretlayer_planewave,700.000000,1.5569873550e+00,6.6689167534e-02
bemstateig,450.000000,9.9392365594e+01,0.0000000000e+00
bemstateig,500.000000,1.2910354898e+02,0.0000000000e+00
bemstateig,550.000000,4.5687985166e+01,0.0000000000e+00
bemstateig,600.000000,1.0473419100e+01,0.0000000000e+00
bemstateig,650.000000,3.3745401972e+00,0.0000000000e+00
bemstateig,700.000000,1.7594058431e+00,0.0000000000e+00
